
Time               Days    r        x          y          z        Rate     Error

2019-320T21:37:41  -73.5  0.94   1.18E+08  -7.51E+07  -6.94E+06  2.26E-04  6.26E-05  
2019-321T21:37:41  -72.5  0.94   1.19E+08  -7.38E+07  -6.98E+06  2.78E-04  6.94E-05  
2019-323T21:37:41  -70.5  0.94   1.20E+08  -7.12E+07  -7.06E+06  2.43E-04  9.19E-05  
2019-324T21:37:41  -69.5  0.93   1.21E+08  -6.99E+07  -7.09E+06  2.08E-04  8.50E-05  
2019-326T21:37:41  -67.5  0.93   1.22E+08  -6.71E+07  -7.16E+06  2.43E-04  9.19E-05  
2019-329T21:37:41  -64.5  0.93   1.23E+08  -6.28E+07  -7.23E+06  2.43E-04  9.19E-05  
2019-330T21:37:41  -63.5  0.92   1.24E+08  -6.13E+07  -7.25E+06  2.08E-04  8.50E-05  
2019-331T21:37:41  -62.5  0.92   1.24E+08  -5.98E+07  -7.26E+06  2.08E-04  8.50E-05  
2019-336T21:37:41  -57.5  0.90   1.24E+08  -5.19E+07  -7.30E+06  3.30E-04  7.57E-05  
2019-337T21:37:41  -56.5  0.90   1.24E+08  -5.02E+07  -7.30E+06  2.08E-04  8.50E-05  
2019-338T21:37:41  -55.5  0.89   1.24E+08  -4.85E+07  -7.30E+06  2.43E-04  9.19E-05  
2019-339T21:37:41  -54.5  0.89   1.24E+08  -4.69E+07  -7.29E+06  2.43E-04  9.19E-05  
2019-340T21:37:41  -53.5  0.88   1.24E+08  -4.51E+07  -7.28E+06  2.20E-04  5.04E-05  
2019-341T21:37:41  -52.5  0.88   1.24E+08  -4.34E+07  -7.27E+06  2.78E-04  6.94E-05  
2019-342T21:37:41  -51.5  0.87   1.24E+08  -4.17E+07  -7.25E+06  2.08E-04  8.50E-05  
2019-343T21:37:41  -50.5  0.87   1.23E+08  -3.99E+07  -7.23E+06  2.43E-04  9.19E-05  
2019-344T21:37:41  -49.5  0.86   1.23E+08  -3.81E+07  -7.21E+06  3.12E-04  1.04E-04  
2019-345T21:37:41  -48.5  0.86   1.22E+08  -3.63E+07  -7.19E+06  3.47E-04  1.10E-04  
2019-346T21:37:41  -47.5  0.85   1.22E+08  -3.45E+07  -7.16E+06  2.78E-04  5.67E-05  
2019-347T21:37:41  -46.5  0.84   1.21E+08  -3.27E+07  -7.12E+06  2.78E-04  5.67E-05  
2019-348T21:37:41  -45.5  0.83   1.21E+08  -3.08E+07  -7.09E+06  3.94E-04  6.75E-05  
2019-349T21:37:41  -44.5  0.83   1.20E+08  -2.90E+07  -7.05E+06  2.89E-04  5.79E-05  
2019-350T21:37:41  -43.5  0.82   1.19E+08  -2.71E+07  -7.00E+06  3.65E-04  7.96E-05  
2019-351T21:37:41  -42.5  0.81   1.19E+08  -2.52E+07  -6.96E+06  3.12E-04  6.01E-05  
2019-352T21:37:41  -41.5  0.80   1.18E+08  -2.33E+07  -6.91E+06  4.34E-04  8.68E-05  
2019-353T21:37:41  -40.5  0.79   1.17E+08  -2.14E+07  -6.85E+06  2.71E-04  7.52E-05  
2019-354T21:37:41  -39.5  0.79   1.16E+08  -1.94E+07  -6.79E+06  4.51E-04  1.25E-04  
2019-358T21:37:41  -35.5  0.75   1.11E+08  -1.16E+07  -6.51E+06  5.12E-04  1.42E-04  
2019-359T21:37:41  -34.5  0.74   1.10E+08  -9.61E+06  -6.43E+06  5.73E-04  9.97E-05  
2019-360T21:37:41  -33.5  0.73   1.08E+08  -7.65E+06  -6.34E+06  4.40E-04  7.33E-05  
2019-361T21:37:41  -32.5  0.72   1.07E+08  -5.86E+06  -6.24E+06  4.54E-04  8.03E-05  
2019-362T21:37:41  -31.5  0.70   1.05E+08  -4.06E+06  -6.12E+06  3.33E-04  1.26E-04  
2019-363T21:37:41  -30.5  0.69   1.04E+08  -2.27E+06  -6.01E+06  5.84E-04  1.51E-04  
2019-364T21:37:41  -29.5  0.68   1.02E+08  -4.67E+05  -5.89E+06  5.56E-04  1.39E-04  
2019-365T21:37:41  -28.5  0.67   1.00E+08   1.33E+06  -5.76E+06  6.27E-04  1.18E-04  
2020-007T21:37:41  -21.5  0.57   8.47E+07   1.38E+07  -4.70E+06  1.48E-03  2.61E-04  
2020-015T21:37:41  -13.5  0.43   5.89E+07   2.64E+07  -3.04E+06  1.87E-03  3.25E-04  
2020-016T21:37:41  -12.5  0.41   5.48E+07   2.77E+07  -2.79E+06  3.02E-03  1.90E-04  
2020-017T21:37:41  -11.5  0.39   5.05E+07   2.88E+07  -2.52E+06  3.43E-03  2.05E-04  
2020-018T21:37:41  -10.5  0.37   4.60E+07   2.98E+07  -2.24E+06  3.73E-03  2.14E-04  
2020-019T21:37:41   -9.5  0.34   4.11E+07   3.07E+07  -1.95E+06  4.67E-03  2.39E-04  
